payload,messages_sent,messages_resent,resend_ratio,success_reports,total_reports,efficiency,success_opm,total_opm,runtime,time_per_message,messages_per_second,time_per_op,success_ops,total_ops,goodput,throughput
1,2561,2,0.00078,33580,37582,0.893513,13.101834,14.663285,663.404,0.258839,3.863408,0.017652,50.617723,56.650246,7.717771,23.159342
1,2561,0,0,33582,37586,0.893471,13.112847,14.676298,662.816,0.258811,3.863817,0.017635,50.665645,56.706537,7.724617,23.179887
1,2561,0,0,33458,37470,0.892928,13.064428,14.631004,662.267,0.258597,3.86702,0.017675,50.520409,56.578389,7.731021,23.199102
1,2561,2,0.00078,33466,37533,0.891642,13.057355,14.644167,663.643,0.258932,3.862016,0.017682,50.427715,56.55601,7.714991,23.151001
1,2561,0,0,33390,37492,0.89059,13.037876,14.639594,663.323,0.259009,3.860864,0.017692,50.337468,56.521484,7.718713,23.16217
2,1281,0,0,15670,18052,0.868048,12.232631,14.092116,332.165,0.259301,3.856517,0.0184,47.17535,54.346484,15.414026,30.840095
2,1281,0,0,15411,17892,0.861335,12.030445,13.967213,332.176,0.25931,3.856389,0.018566,46.39408,53.863012,15.413516,30.839073
2,1281,0,0,15509,17965,0.86329,12.106948,14.0242,331.725,0.258958,3.861632,0.018465,46.752581,54.156304,15.434471,30.881001
2,1281,0,0,15544,17951,0.865913,12.13427,14.013271,331.462,0.258753,3.864696,0.018465,46.89527,54.157038,15.446718,30.905503
2,1281,0,0,15534,17944,0.865693,12.126464,14.007806,331.486,0.258771,3.864417,0.018473,46.861708,54.132,15.4456,30.903266
3,855,0,0,9398,11286,0.832713,10.991813,13.2,221.992,0.25964,3.85149,0.01967,42.334859,50.83967,23.063894,38.469855
3,855,0,0,9528,11358,0.83888,11.14386,13.284211,221.942,0.259581,3.852358,0.019541,42.930135,51.175532,23.06909,38.478521
3,855,0,0,9442,11309,0.83491,11.043275,13.226901,222.212,0.259897,3.847677,0.019649,42.490955,50.892841,23.04106,38.431768
3,855,0,0,9560,11379,0.840144,11.181287,13.308772,222.102,0.259768,3.849583,0.019519,43.043286,51.233217,23.052471,38.450802
3,855,0,0,9564,11385,0.840053,11.185965,13.315789,222.258,0.259951,3.846881,0.019522,43.031072,51.224253,23.036291,38.423814
4,641,0,0,6512,8006,0.81339,10.159126,12.48986,167.04,0.260593,3.837404,0.020864,38.984674,47.92864,30.651341,46.000958
4,641,0,0,6558,8048,0.814861,10.230889,12.555382,166.78,0.260187,3.843386,0.020723,39.321262,48.255186,30.699125,46.072671
4,641,0,0,6538,8017,0.815517,10.199688,12.50702,166.64,0.259969,3.846615,0.020786,39.234277,48.109698,30.724916,46.111378
4,641,0,0,6461,7984,0.809243,10.079563,12.455538,166.701,0.260064,3.845208,0.020879,38.758016,47.894134,30.713673,46.094505
4,641,0,0,6690,8103,0.82562,10.436817,12.641186,166.51,0.259766,3.849619,0.020549,40.177767,48.663744,30.748904,46.147379
5,513,0,0,4806,6038,0.795959,9.368421,11.769981,133.316,0.259875,3.848,0.022079,36.049686,45.290888,38.404993,53.796994
5,513,0,0,4749,6039,0.786388,9.25731,11.77193,133.465,0.260166,3.843704,0.022101,35.582362,45.247818,38.362117,53.736935
5,513,0,0,4727,6020,0.785216,9.214425,11.734893,133.909,0.261031,3.83096,0.022244,35.300092,44.955903,38.234921,53.55876
5,513,0,0,4748,6007,0.790411,9.255361,11.709552,133.469,0.260173,3.843589,0.022219,35.573804,45.006706,38.360968,53.735324
5,513,0,0,4663,5968,0.781334,9.089669,11.633528,133.46,0.260156,3.843848,0.022363,34.939308,44.717518,38.363555,53.738948
6,428,0,0,3577,4722,0.757518,8.357477,11.03271,111.658,0.260883,3.833133,0.023646,32.035322,42.289849,45.854305,61.186838
6,428,0,0,3655,4748,0.769798,8.53972,11.093458,111.449,0.260395,3.840322,0.023473,32.79527,42.602446,45.940296,61.301582
6,428,0,0,3632,4741,0.766083,8.485981,11.077103,111.429,0.260348,3.841011,0.023503,32.594746,42.547272,45.948541,61.312585
6,428,0,0,3610,4723,0.764345,8.434579,11.035047,111.818,0.261257,3.827649,0.023675,32.284605,42.23828,45.788692,61.099286
6,428,0,0,3622,4753,0.762045,8.462617,11.10514,111.971,0.261614,3.822418,0.023558,32.347661,42.448491,45.726126,61.015799
7,367,0,0,2964,3880,0.763918,8.076294,10.572207,95.442,0.26006,3.845267,0.024598,31.05551,40.652962,53.645146,69.026215
7,367,0,0,2958,3886,0.761194,8.059946,10.588556,95.678,0.260703,3.835783,0.024621,30.916198,40.615397,53.512824,68.855954
7,367,0,0,2923,3855,0.758236,7.964578,10.504087,95.368,0.259858,3.848251,0.024739,30.649694,40.422364,53.686771,69.079775
7,367,0,0,2938,3882,0.756826,8.00545,10.577657,95.788,0.261003,3.831378,0.024675,30.6719,40.526997,53.451372,68.776882
7,367,0,0,3015,3912,0.770706,8.215259,10.659401,95.858,0.261193,3.82858,0.024504,31.452774,40.810365,53.412339,68.726658
8,321,0,0,2355,3199,0.736168,7.336449,9.965732,83.947,0.261517,3.823841,0.026242,28.053415,38.107377,60.990863,76.286228
8,321,0,0,2375,3213,0.739185,7.398754,10.009346,84.108,0.262019,3.816522,0.026177,28.237504,38.200885,60.874114,76.140201
8,321,0,0,2388,3208,0.744389,7.439252,9.993769,83.577,0.260364,3.84077,0.026053,28.572454,38.383766,61.260873,76.623952
8,321,0,0,2431,3263,0.74502,7.573209,10.165109,84.717,0.263916,3.789086,0.025963,28.695539,38.516472,60.436512,75.592856
8,321,0,0,2485,3262,0.761803,7.741433,10.161994,83.898,0.261364,3.826075,0.02572,29.6193,38.880545,61.026485,76.330783
9,286,0,0,1989,2742,0.725383,6.954545,9.587413,74.997,0.262227,3.813486,0.027351,26.521061,36.561462,68.269397,83.523341
9,286,0,0,1921,2695,0.712801,6.716783,9.423077,74.647,0.261003,3.831366,0.027698,25.734457,36.103259,68.589495,83.91496
9,286,0,0,1925,2723,0.706941,6.730769,9.520979,74.907,0.261913,3.818068,0.027509,25.698533,36.351743,68.351422,83.623693
9,286,0,0,2006,2730,0.734799,7.013986,9.545455,74.428,0.260238,3.84264,0.027263,26.952222,36.679744,68.791315,84.161875
9,286,0,0,1941,2704,0.717825,6.786713,9.454545,74.497,0.260479,3.839081,0.027551,26.05474,36.296764,68.7276,84.083923
10,257,0,0,1625,2329,0.697724,6.322957,9.062257,67.517,0.262712,3.806449,0.02899,24.068013,34.495016,75.832753,91.058548
