payload, total, success, efficiency, throughput, ops
1,525,487,0.927619,97.4,48.7
2,500,413,0.826,165.2,41.3
3,432,325,0.752315,195,32.5
4,398,296,0.743719,236.8,29.6
5,351,229,0.652422,229,22.9
6,371,214,0.576819,256.8,21.4
7,305,147,0.481967,205.8,14.7
8,343,164,0.478134,262.4,16.4
9,283,123,0.434629,221.4,12.3
10,272,104,0.382353,208,10.4
11,290,115,0.396552,253,11.5
12,247,87,0.352227,208.8,8.7
13,308,114,0.37013,296.4,11.4
14,253,98,0.387352,274.4,9.8
15,259,93,0.359073,279,9.3
16,229,32,0.139738,102.4,3.2
17,211,24,0.113744,81.6,2.4
18,218,25,0.114679,90,2.5
19,207,10,0.048309,38,1
20,198,18,0.090909,72,1.8
21,201,5,0.024876,21,0.5
22,200,1,0.005,4.4,0.1
23,211,0,0,0,0
24,211,0,0,0,0
25,211,0,0,0,0
26,211,0,0,0,0
27,211,0,0,0,0
28,211,0,0,0,0
29,211,0,0,0,0
30,211,0,0,0,0
31,211,0,0,0,0
32,211,0,0,0,0
