payload, total, success, efficiency, throughput, ops
1,799,763,0.954944,152.6,76.3
2,742,706,0.951482,282.4,70.6
3,670,616,0.919403,369.6,61.6
4,602,536,0.890365,428.8,53.6
5,557,494,0.886894,494,49.4
6,504,415,0.823413,498,41.5
7,466,378,0.811159,529.2,37.8
8,443,346,0.781038,553.6,34.6
9,409,307,0.750611,552.6,30.7
10,401,310,0.773067,620,31
11,397,309,0.778338,679.8,30.9
12,367,267,0.72752,640.8,26.7
13,349,243,0.696275,631.8,24.3
14,339,235,0.693215,658,23.5
15,311,190,0.610932,570,19
16,314,213,0.678344,681.6,21.3
17,301,189,0.627907,642.6,18.9
18,278,151,0.543165,543.6,15.1
19,285,174,0.610526,661.2,17.4
20,279,166,0.594982,664,16.6
21,270,160,0.592593,672,16
22,257,133,0.51751,585.2,13.3
23,253,133,0.525692,611.8,13.3
24,244,124,0.508197,595.2,12.4
25,243,126,0.518519,630,12.6
26,236,113,0.478814,587.6,11.3
27,229,101,0.441048,545.4,10.1
28,231,117,0.506494,655.2,11.7
29,223,92,0.412556,533.6,9.2
30,214,86,0.401869,516,8.6
31,222,105,0.472973,651,10.5
32,217,99,0.456221,633.6,9.9
