payload, total, success, efficiency, throughput, ops
1,1477,1407,0.952607,281.4,140.7
1,1471,1368,0.92998,273.6,136.8
1,1449,1365,0.942029,273,136.5
1,1474,1396,0.947083,279.2,139.6
1,1501,1428,0.951366,285.6,142.8
2,1019,946,0.928361,378.4,94.6
2,1061,994,0.936852,397.6,99.4
2,1057,989,0.935667,395.6,98.9
2,1072,1018,0.949627,407.2,101.8
2,1052,991,0.942015,396.4,99.1
3,892,832,0.932735,499.2,83.2
3,859,779,0.906868,467.4,77.9
3,869,797,0.917146,478.2,79.7
3,854,775,0.907494,465,77.5
3,861,785,0.911731,471,78.5
4,750,678,0.904,542.4,67.8
4,740,661,0.893243,528.8,66.1
4,731,644,0.880985,515.2,64.4
4,741,662,0.893387,529.6,66.2
4,767,699,0.911343,559.2,69.9
5,655,575,0.877863,575,57.5
5,673,605,0.89896,605,60.5
5,658,576,0.87538,576,57.6
5,661,582,0.880484,582,58.2
5,659,580,0.880121,580,58
6,590,512,0.867797,614.4,51.2
6,595,516,0.867227,619.2,51.6
6,585,499,0.852991,598.8,49.9
6,597,522,0.874372,626.4,52.2
6,592,514,0.868243,616.8,51.4
7,524,435,0.830153,609,43.5
7,534,451,0.844569,631.4,45.1
7,529,441,0.833648,617.4,44.1
7,540,462,0.855556,646.8,46.2
7,536,454,0.847015,635.6,45.4
8,495,418,0.844444,668.8,41.8
8,477,381,0.798742,609.6,38.1
8,498,418,0.839357,668.8,41.8
8,471,370,0.785563,592,37
8,490,408,0.832653,652.8,40.8
9,455,374,0.821978,673.2,37.4
9,456,376,0.824561,676.8,37.6
9,457,375,0.820569,675,37.5
9,453,363,0.801325,653.4,36.3
9,454,365,0.803965,657,36.5
10,417,322,0.772182,644,32.2
10,429,360,0.839161,720,36
10,426,340,0.798122,680,34
10,431,362,0.839907,724,36.2
10,427,353,0.826698,706,35.3
11,390,303,0.776923,666.6,30.3
11,400,325,0.8125,715,32.5
11,397,318,0.801008,699.6,31.8
11,394,311,0.78934,684.2,31.1
11,402,322,0.800995,708.4,32.2
12,376,297,0.789894,712.8,29.7
12,375,291,0.776,698.4,29.1
12,365,271,0.742466,650.4,27.1
12,371,289,0.778976,693.6,28.9
12,368,278,0.755435,667.2,27.8
13,353,278,0.787535,722.8,27.8
13,352,265,0.752841,689,26.5
13,352,262,0.744318,681.2,26.2
13,352,258,0.732955,670.8,25.8
13,356,278,0.780899,722.8,27.8
14,329,229,0.696049,641.2,22.9
14,336,257,0.764881,719.6,25.7
14,333,243,0.72973,680.4,24.3
14,338,259,0.766272,725.2,25.9
14,336,248,0.738095,694.4,24.8
15,320,233,0.728125,699,23.3
15,316,226,0.71519,678,22.6
15,319,231,0.724138,693,23.1
15,316,230,0.727848,690,23
15,321,235,0.732087,705,23.5
16,301,212,0.704319,678.4,21.2
16,305,230,0.754098,736,23
16,299,203,0.67893,649.6,20.3
16,304,221,0.726974,707.2,22.1
16,301,211,0.700997,675.2,21.1
17,291,205,0.704467,697,20.5
17,294,223,0.758503,758.2,22.3
17,287,188,0.655052,639.2,18.8
17,288,198,0.6875,673.2,19.8
17,291,199,0.683849,676.6,19.9
18,284,204,0.71831,734.4,20.4
18,280,185,0.660714,666,18.5
18,281,180,0.640569,648,18
18,281,189,0.672598,680.4,18.9
18,277,188,0.6787,676.8,18.8
19,271,192,0.708487,729.6,19.2
19,268,185,0.690299,703,18.5
19,270,181,0.67037,687.8,18.1
19,268,193,0.720149,733.4,19.3
19,270,184,0.681481,699.2,18.4
20,264,169,0.640152,676,16.9
20,264,174,0.659091,696,17.4
20,264,176,0.666667,704,17.6
20,262,180,0.687023,720,18
20,257,166,0.645914,664,16.6
21,252,180,0.714286,756,18
21,254,166,0.653543,697.2,16.6
21,256,175,0.683594,735,17.5
21,248,151,0.608871,634.2,15.1
21,248,153,0.616935,642.6,15.3
22,245,157,0.640816,690.8,15.7
22,243,158,0.650206,695.2,15.8
22,242,154,0.636364,677.6,15.4
22,241,151,0.626556,664.4,15.1
22,246,162,0.658537,712.8,16.2
23,235,143,0.608511,657.8,14.3
23,238,149,0.62605,685.4,14.9
23,239,148,0.619247,680.8,14.8
23,234,155,0.662393,713,15.5
23,235,139,0.591489,639.4,13.9
24,230,145,0.630435,696,14.5
24,231,133,0.575758,638.4,13.3
24,226,143,0.632743,686.4,14.3
24,231,144,0.623377,691.2,14.4
24,231,137,0.593074,657.6,13.7
25,231,141,0.61039,705,14.1
25,222,131,0.59009,655,13.1
25,223,140,0.627803,700,14
25,225,132,0.586667,660,13.2
25,221,141,0.638009,705,14.1
26,215,115,0.534884,598,11.5
26,219,126,0.575342,655.2,12.6
26,218,126,0.577982,655.2,12.6
26,217,124,0.571429,644.8,12.4
26,214,135,0.630841,702,13.5
27,209,126,0.602871,680.4,12.6
27,210,120,0.571429,648,12
27,213,120,0.56338,648,12
27,208,110,0.528846,594,11
27,212,120,0.566038,648,12
28,210,118,0.561905,660.8,11.8
28,205,123,0.6,688.8,12.3
28,205,127,0.619512,711.2,12.7
28,210,124,0.590476,694.4,12.4
28,207,111,0.536232,621.6,11.1
29,206,103,0.5,597.4,10.3
29,204,115,0.563725,667,11.5
29,202,115,0.569307,667,11.5
29,202,110,0.544554,638,11
29,206,111,0.538835,643.8,11.1
30,194,98,0.505155,588,9.8
30,196,112,0.571429,672,11.2
30,191,99,0.518325,594,9.9
30,199,101,0.507538,606,10.1
30,199,106,0.532663,636,10.6
31,195,91,0.466667,564.2,9.1
31,195,100,0.512821,620,10
31,191,112,0.586387,694.4,11.2
31,192,95,0.494792,589,9.5
31,197,100,0.507614,620,10
32,192,112,0.583333,716.8,11.2
32,191,96,0.502618,614.4,9.6
32,191,113,0.591623,723.2,11.3
32,195,100,0.512821,640,10
32,192,104,0.541667,665.6,10.4
