payload, total, success, efficiency, throughput, ops
1,1282,1164,0.907956,232.8,116.4
1,1307,1160,0.887529,232,116
1,1304,1155,0.885736,231,115.5
1,1363,1244,0.912693,248.8,124.4
1,1318,1184,0.898331,236.8,118.4
2,867,740,0.853518,296,74
2,880,754,0.856818,301.6,75.4
2,885,764,0.863277,305.6,76.4
2,871,750,0.861079,300,75
2,871,741,0.850746,296.4,74.1
3,692,532,0.768786,319.2,53.2
3,664,494,0.743976,296.4,49.4
3,664,490,0.737952,294,49
3,676,516,0.763314,309.6,51.6
3,681,521,0.765051,312.6,52.1
4,580,406,0.7,324.8,40.6
4,566,389,0.687279,311.2,38.9
4,565,385,0.681416,308,38.5
4,561,378,0.673797,302.4,37.8
4,562,375,0.66726,300,37.5
5,491,297,0.604888,297,29.7
5,496,308,0.620968,308,30.8
5,489,292,0.597137,292,29.2
5,497,300,0.603622,300,30
5,498,301,0.604418,301,30.1
6,439,233,0.530752,279.6,23.3
6,434,229,0.52765,274.8,22.9
6,440,232,0.527273,278.4,23.2
6,437,229,0.524027,274.8,22.9
6,438,234,0.534247,280.8,23.4
7,406,190,0.46798,266,19
7,401,189,0.471322,264.6,18.9
7,407,191,0.469287,267.4,19.1
7,411,203,0.493917,284.2,20.3
7,408,198,0.485294,277.2,19.8
8,371,155,0.41779,248,15.5
8,373,158,0.423592,252.8,15.8
8,376,162,0.430851,259.2,16.2
8,379,164,0.432718,262.4,16.4
8,382,165,0.431937,264,16.5
9,342,122,0.356725,219.6,12.2
9,347,131,0.377522,235.8,13.1
9,350,132,0.377143,237.6,13.2
9,341,121,0.354839,217.8,12.1
9,360,143,0.397222,257.4,14.3
10,336,126,0.375,252,12.6
10,321,104,0.323988,208,10.4
10,325,109,0.335385,218,10.9
10,324,106,0.32716,212,10.6
10,318,98,0.308176,196,9.8
11,303,80,0.264026,176,8
11,303,78,0.257426,171.6,7.8
11,298,72,0.241611,158.4,7.2
11,299,74,0.247492,162.8,7.4
11,299,73,0.244147,160.6,7.3
12,285,57,0.2,136.8,5.7
12,285,60,0.210526,144,6
12,288,62,0.215278,148.8,6.2
12,287,62,0.216028,148.8,6.2
12,284,54,0.190141,129.6,5.4
13,274,45,0.164234,117,4.5
13,272,46,0.169118,119.6,4.6
13,279,54,0.193548,140.4,5.4
13,280,53,0.189286,137.8,5.3
13,278,47,0.169065,122.2,4.7
14,271,38,0.140221,106.4,3.8
14,266,37,0.139098,103.6,3.7
14,267,36,0.134831,100.8,3.6
14,269,39,0.144981,109.2,3.9
14,268,37,0.13806,103.6,3.7
15,260,29,0.111538,87,2.9
15,257,23,0.089494,69,2.3
15,259,26,0.100386,78,2.6
15,261,31,0.118774,93,3.1
15,258,27,0.104651,81,2.7
16,253,20,0.079051,64,2
16,254,19,0.074803,60.8,1.9
16,246,14,0.056911,44.8,1.4
16,252,19,0.075397,60.8,1.9
16,251,18,0.071713,57.6,1.8
17,245,14,0.057143,47.6,1.4
17,249,12,0.048193,40.8,1.2
17,253,17,0.067194,57.8,1.7
17,249,13,0.052209,44.2,1.3
17,248,11,0.044355,37.4,1.1
18,243,7,0.028807,25.2,0.7
18,243,7,0.028807,25.2,0.7
18,247,8,0.032389,28.8,0.8
18,241,6,0.024896,21.6,0.6
18,243,3,0.012346,10.8,0.3
19,241,5,0.020747,19,0.5
19,238,5,0.021008,19,0.5
19,238,1,0.004202,3.8,0.1
19,241,7,0.029046,26.6,0.7
19,238,3,0.012605,11.4,0.3
20,237,2,0.008439,8,0.2
20,234,0,0,0,0
20,238,6,0.02521,24,0.6
20,242,3,0.012397,12,0.3
20,241,4,0.016598,16,0.4
21,240,4,0.016667,16.8,0.4
21,237,3,0.012658,12.6,0.3
21,241,2,0.008299,8.4,0.2
21,234,1,0.004274,4.2,0.1
21,234,1,0.004274,4.2,0.1
22,232,1,0.00431,4.4,0.1
22,235,0,0,0,0
22,235,2,0.008511,8.8,0.2
22,235,2,0.008511,8.8,0.2
22,235,2,0.008511,8.8,0.2
23,227,2,0.008811,9.2,0.2
23,224,1,0.004464,4.6,0.1
23,226,2,0.00885,9.2,0.2
23,224,1,0.004464,4.6,0.1
23,226,3,0.013274,13.8,0.3
24,226,2,0.00885,9.6,0.2
24,229,0,0,0,0
24,229,2,0.008734,9.6,0.2
24,227,1,0.004405,4.8,0.1
24,232,4,0.017241,19.2,0.4
25,223,0,0,0,0
25,224,1,0.004464,5,0.1
25,223,0,0,0,0
25,222,0,0,0,0
25,227,0,0,0,0
26,225,0,0,0,0
26,226,0,0,0,0
26,227,0,0,0,0
26,218,1,0.004587,5.2,0.1
26,222,0,0,0,0
27,218,0,0,0,0
27,223,0,0,0,0
27,225,0,0,0,0
27,220,0,0,0,0
27,223,0,0,0,0
28,219,0,0,0,0
28,222,0,0,0,0
28,225,0,0,0,0
28,219,0,0,0,0
28,224,0,0,0,0
29,214,0,0,0,0
29,222,0,0,0,0
29,228,0,0,0,0
29,232,0,0,0,0
29,239,0,0,0,0
30,242,0,0,0,0
30,246,0,0,0,0
30,250,0,0,0,0
30,253,0,0,0,0
30,259,0,0,0,0
31,255,0,0,0,0
31,259,0,0,0,0
31,260,0,0,0,0
31,261,0,0,0,0
31,247,0,0,0,0
32,234,0,0,0,0
32,236,0,0,0,0
32,240,0,0,0,0
32,239,0,0,0,0
32,235,0,0,0,0
