payload, total, success, efficiency, throughput, ops
1,806,754,0.935484,150.8,75.4
2,768,726,0.945312,290.4,72.6
3,683,623,0.912152,373.8,62.3
4,643,576,0.895801,460.8,57.6
5,549,469,0.854281,469,46.9
6,496,409,0.824597,490.8,40.9
7,477,381,0.798742,533.4,38.1
8,434,332,0.764977,531.2,33.2
9,419,318,0.75895,572.4,31.8
10,405,308,0.760494,616,30.8
11,381,280,0.734908,616,28
12,371,267,0.719677,640.8,26.7
13,340,216,0.635294,561.6,21.6
14,335,227,0.677612,635.6,22.7
15,319,203,0.636364,609,20.3
16,314,201,0.640127,643.2,20.1
17,303,176,0.580858,598.4,17.6
18,298,177,0.59396,637.2,17.7
19,276,150,0.543478,570,15
20,280,166,0.592857,664,16.6
21,275,163,0.592727,684.6,16.3
22,265,144,0.543396,633.6,14.4
23,259,146,0.563707,671.6,14.6
24,250,127,0.508,609.6,12.7
25,243,128,0.526749,640,12.8
26,237,118,0.49789,613.6,11.8
27,237,124,0.523207,669.6,12.4
28,239,124,0.518828,694.4,12.4
29,227,106,0.46696,614.8,10.6
30,220,80,0.363636,480,8
31,224,97,0.433036,601.4,9.7
32,222,86,0.387387,550.4,8.6
