payload,messages_sent,messages_resent,resend_ratio,success_reports,total_reports,efficiency,success_opm,total_opm,runtime,time_per_message,messages_per_second,time_per_op,success_ops,total_ops,goodput,throughput
1,2561,0,0,33440,37435,0.893282,13.057399,14.617337,662.556,0.25871,3.865334,0.017699,50.471205,56.500884,7.727649,23.188983
1,2561,0,0,33351,37417,0.891333,13.022647,14.610308,663.106,0.258925,3.862128,0.017722,50.295126,56.426876,7.721239,23.16975
1,2561,0,0,33282,37413,0.889584,12.995705,14.608747,662.337,0.258624,3.866612,0.017703,50.249344,56.486351,7.730204,23.196651
1,2561,0,0,33659,37586,0.89552,13.142913,14.676298,662.116,0.258538,3.867902,0.017616,50.835503,56.766488,7.732784,23.204393
1,2561,4,0.001559,33315,37421,0.890276,12.988304,14.589084,664.516,0.259071,3.859952,0.017758,50.134233,56.313166,7.704856,23.120587
2,1281,0,0,16027,18192,0.880992,12.511319,14.201405,331.975,0.259153,3.858724,0.018248,48.277732,54.799307,15.422848,30.857745
2,1281,0,0,15882,18135,0.875765,12.398126,14.156909,331.725,0.258958,3.861632,0.018292,47.877007,54.668777,15.434471,30.881001
2,1281,0,0,16087,18255,0.881238,12.558158,14.250585,331.475,0.258763,3.864545,0.018158,48.531563,55.072027,15.446112,30.904291
2,1281,0,0,15797,18035,0.875908,12.331772,14.078845,332.115,0.259262,3.857098,0.018415,47.56485,54.303479,15.416347,30.844738
2,1281,0,0,15906,18149,0.876412,12.416862,14.167838,331.726,0.258959,3.861621,0.018278,47.949211,54.710816,15.434425,30.880908
3,855,0,0,10093,11627,0.868066,11.804678,13.59883,222.129,0.2598,3.849115,0.019105,45.437561,52.343458,23.049669,38.446128
3,855,0,0,10027,11599,0.864471,11.727485,13.566082,221.543,0.259115,3.859296,0.0191,45.259837,52.355525,23.110638,38.547821
3,855,0,0,9905,11521,0.859734,11.584795,13.474854,221.602,0.259184,3.858268,0.019235,44.69725,51.989603,23.104485,38.537558
3,855,0,0,9963,11576,0.86066,11.652632,13.539181,221.682,0.259277,3.856876,0.01915,44.942756,52.218944,23.096147,38.523651
3,855,0,0,9889,11535,0.857304,11.566082,13.491228,221.932,0.25957,3.852531,0.01924,44.558694,51.97538,23.07013,38.480255
