payload, total, success, efficiency, throughput, ops
1,1413,1337,0.946214,267.4,133.7
1,1457,1371,0.940975,274.2,137.1
1,1428,1335,0.934874,267,133.5
1,1455,1364,0.937457,272.8,136.4
1,1460,1386,0.949315,277.2,138.6
2,1058,992,0.937618,396.8,99.2
2,1043,979,0.938639,391.6,97.9
2,1041,975,0.936599,390,97.5
2,1039,971,0.934552,388.4,97.1
2,1061,1001,0.94345,400.4,100.1
3,861,784,0.910569,470.4,78.4
3,886,819,0.924379,491.4,81.9
3,837,749,0.894863,449.4,74.9
3,850,765,0.9,459,76.5
3,836,746,0.892344,447.6,74.6
4,732,646,0.882514,516.8,64.6
4,736,651,0.884511,520.8,65.1
4,733,650,0.886767,520,65
4,735,648,0.881633,518.4,64.8
4,721,629,0.872399,503.2,62.9
5,637,542,0.850863,542,54.2
5,660,580,0.878788,580,58
5,640,547,0.854688,547,54.7
5,630,530,0.84127,530,53
5,626,522,0.833866,522,52.2
6,564,460,0.815603,552,46
6,565,462,0.817699,554.4,46.2
6,568,467,0.822183,560.4,46.7
6,575,483,0.84,579.6,48.3
6,566,469,0.828622,562.8,46.9
7,513,412,0.803119,576.8,41.2
7,517,416,0.804642,582.4,41.6
7,516,416,0.806202,582.4,41.6
7,518,421,0.812741,589.4,42.1
7,510,405,0.794118,567,40.5
8,473,372,0.786469,595.2,37.2
8,484,392,0.809917,627.2,39.2
8,474,373,0.78692,596.8,37.3
8,473,371,0.784355,593.6,37.1
8,460,342,0.743478,547.2,34.2
9,430,319,0.74186,574.2,31.9
9,440,340,0.772727,612,34
9,456,372,0.815789,669.6,37.2
9,437,330,0.755149,594,33
9,438,339,0.773973,610.2,33.9
10,418,329,0.787081,658,32.9
10,423,341,0.806147,682,34.1
10,411,307,0.746959,614,30.7
10,412,309,0.75,618,30.9
10,413,310,0.750605,620,31
11,386,279,0.722798,613.8,27.9
11,385,278,0.722078,611.6,27.8
11,384,281,0.731771,618.2,28.1
11,385,274,0.711688,602.8,27.4
11,390,291,0.746154,640.2,29.1
12,362,249,0.687845,597.6,24.9
12,369,274,0.742547,657.6,27.4
12,360,247,0.686111,592.8,24.7
12,365,268,0.734247,643.2,26.8
12,353,231,0.654391,554.4,23.1
13,348,253,0.727011,657.8,25.3
13,343,235,0.685131,611,23.5
13,334,209,0.625749,543.4,20.9
13,344,237,0.688953,616.2,23.7
13,343,233,0.6793,605.8,23.3
14,327,228,0.697248,638.4,22.8
14,330,224,0.678788,627.2,22.4
14,327,216,0.66055,604.8,21.6
14,329,229,0.696049,641.2,22.9
14,328,220,0.670732,616,22
15,311,206,0.662379,618,20.6
15,309,194,0.627832,582,19.4
15,311,200,0.643087,600,20
15,305,189,0.619672,567,18.9
15,313,206,0.658147,618,20.6
16,299,194,0.648829,620.8,19.4
16,299,185,0.618729,592,18.5
16,301,197,0.654485,630.4,19.7
16,300,196,0.653333,627.2,19.6
16,303,208,0.686469,665.6,20.8
17,287,175,0.609756,595,17.5
17,285,177,0.621053,601.8,17.7
17,284,171,0.602113,581.4,17.1
17,287,163,0.567944,554.2,16.3
17,284,179,0.630282,608.6,17.9
18,272,171,0.628676,615.6,17.1
18,269,159,0.591078,572.4,15.9
18,274,159,0.580292,572.4,15.9
18,275,158,0.574545,568.8,15.8
18,270,157,0.581481,565.2,15.7
19,265,157,0.592453,596.6,15.7
19,272,167,0.613971,634.6,16.7
19,263,161,0.612167,611.8,16.1
19,272,167,0.613971,634.6,16.7
19,266,165,0.620301,627,16.5
20,258,147,0.569767,588,14.7
20,263,144,0.547529,576,14.4
20,257,140,0.544747,560,14
20,258,149,0.577519,596,14.9
20,259,138,0.532819,552,13.8
21,245,138,0.563265,579.6,13.8
21,250,151,0.604,634.2,15.1
21,249,141,0.566265,592.2,14.1
21,251,143,0.569721,600.6,14.3
21,251,146,0.581673,613.2,14.6
22,241,142,0.589212,624.8,14.2
22,242,138,0.570248,607.2,13.8
22,246,140,0.569106,616,14
22,241,133,0.551867,585.2,13.3
22,242,137,0.566116,602.8,13.7
23,235,122,0.519149,561.2,12.2
23,235,128,0.544681,588.8,12.8
23,241,125,0.518672,575,12.5
23,228,106,0.464912,487.6,10.6
23,239,138,0.577406,634.8,13.8
24,225,117,0.52,561.6,11.7
24,229,124,0.541485,595.2,12.4
24,226,127,0.561947,609.6,12.7
24,223,110,0.493274,528,11
24,232,123,0.530172,590.4,12.3
25,221,109,0.493213,545,10.9
25,222,112,0.504505,560,11.2
25,223,104,0.466368,520,10.4
25,225,98,0.435556,490,9.8
25,220,104,0.472727,520,10.4
26,221,108,0.488688,561.6,10.8
26,221,100,0.452489,520,10
26,219,110,0.502283,572,11
26,215,125,0.581395,650,12.5
26,219,103,0.47032,535.6,10.3
27,215,100,0.465116,540,10
27,217,103,0.474654,556.2,10.3
27,212,109,0.514151,588.6,10.9
27,209,90,0.430622,486,9
27,207,105,0.507246,567,10.5
28,206,103,0.5,576.8,10.3
28,203,98,0.482759,548.8,9.8
28,205,83,0.404878,464.8,8.3
28,210,108,0.514286,604.8,10.8
28,206,94,0.456311,526.4,9.4
29,200,104,0.52,603.2,10.4
29,205,88,0.429268,510.4,8.8
29,201,98,0.487562,568.4,9.8
29,201,96,0.477612,556.8,9.6
29,200,97,0.485,562.6,9.7
30,199,82,0.41206,492,8.2
30,198,94,0.474747,564,9.4
30,197,97,0.492386,582,9.7
30,198,85,0.429293,510,8.5
30,200,84,0.42,504,8.4
31,193,82,0.42487,508.4,8.2
31,200,80,0.4,496,8
31,194,86,0.443299,533.2,8.6
31,199,86,0.432161,533.2,8.6
31,199,76,0.38191,471.2,7.6
32,192,84,0.4375,537.6,8.4
32,190,88,0.463158,563.2,8.8
32,189,85,0.449735,544,8.5
32,191,82,0.429319,524.8,8.2
32,197,77,0.390863,492.8,7.7
