payload, total, success, efficiency, throughput, ops
1,1452,1395,0.960744,279,139.5
1,1489,1423,0.955675,284.6,142.3
1,1505,1431,0.950831,286.2,143.1
1,1496,1431,0.956551,286.2,143.1
1,1515,1442,0.951815,288.4,144.2
2,1045,982,0.939713,392.8,98.2
2,1019,946,0.928361,378.4,94.6
2,1055,994,0.94218,397.6,99.4
2,1022,952,0.931507,380.8,95.2
2,1053,988,0.938272,395.2,98.8
3,856,779,0.910047,467.4,77.9
3,871,800,0.918485,480,80
3,871,801,0.919633,480.6,80.1
3,866,792,0.91455,475.2,79.2
3,860,784,0.911628,470.4,78.4
4,758,686,0.905013,548.8,68.6
4,727,640,0.88033,512,64
4,728,645,0.885989,516,64.5
4,731,644,0.880985,515.2,64.4
4,729,642,0.880658,513.6,64.2
5,659,581,0.881639,581,58.1
5,667,593,0.889055,593,59.3
5,636,540,0.849057,540,54
5,650,567,0.872308,567,56.7
5,647,561,0.867079,561,56.1
6,582,498,0.85567,597.6,49.8
6,567,467,0.823633,560.4,46.7
6,580,489,0.843103,586.8,48.9
6,590,507,0.859322,608.4,50.7
6,567,468,0.825397,561.6,46.8
7,537,455,0.8473,637,45.5
7,528,432,0.818182,604.8,43.2
7,513,409,0.797271,572.6,40.9
7,530,439,0.828302,614.6,43.9
7,524,430,0.820611,602,43
8,469,368,0.784648,588.8,36.8
8,477,377,0.790356,603.2,37.7
8,480,383,0.797917,612.8,38.3
8,476,372,0.781513,595.2,37.2
8,486,390,0.802469,624,39
9,434,329,0.758065,592.2,32.9
9,444,338,0.761261,608.4,33.8
9,449,350,0.77951,630,35
9,439,335,0.763098,603,33.5
9,445,355,0.797753,639,35.5
10,418,325,0.777512,650,32.5
10,411,305,0.742092,610,30.5
10,417,321,0.769784,642,32.1
10,417,320,0.767386,640,32
10,416,319,0.766827,638,31.9
11,385,286,0.742857,629.2,28.6
11,387,288,0.744186,633.6,28.8
11,390,297,0.761538,653.4,29.7
11,394,304,0.771574,668.8,30.4
11,387,297,0.767442,653.4,29.7
12,366,264,0.721311,633.6,26.4
12,362,252,0.696133,604.8,25.2
12,363,256,0.705234,614.4,25.6
12,369,277,0.750678,664.8,27.7
12,370,278,0.751351,667.2,27.8
13,345,247,0.715942,642.2,24.7
13,345,245,0.710145,637,24.5
13,339,236,0.696165,613.6,23.6
13,343,246,0.717201,639.6,24.6
13,348,252,0.724138,655.2,25.2
14,326,231,0.708589,646.8,23.1
14,333,237,0.711712,663.6,23.7
14,332,240,0.722892,672,24
14,331,227,0.685801,635.6,22.7
14,332,239,0.71988,669.2,23.9
15,312,213,0.682692,639,21.3
15,309,202,0.653722,606,20.2
15,315,214,0.679365,642,21.4
15,315,219,0.695238,657,21.9
15,308,195,0.633117,585,19.5
16,295,196,0.664407,627.2,19.6
16,297,194,0.653199,620.8,19.4
16,298,201,0.674497,643.2,20.1
16,304,218,0.717105,697.6,21.8
16,304,210,0.690789,672,21
17,287,194,0.675958,659.6,19.4
17,291,202,0.694158,686.8,20.2
17,286,184,0.643357,625.6,18.4
17,287,183,0.637631,622.2,18.3
17,287,185,0.644599,629,18.5
18,274,188,0.686131,676.8,18.8
18,279,178,0.637993,640.8,17.8
18,274,173,0.631387,622.8,17.3
18,273,166,0.608059,597.6,16.6
18,278,160,0.57554,576,16
19,268,162,0.604478,615.6,16.2
19,264,160,0.606061,608,16
19,266,163,0.612782,619.4,16.3
19,269,174,0.64684,661.2,17.4
19,267,154,0.576779,585.2,15.4
20,258,147,0.569767,588,14.7
20,259,165,0.637066,660,16.5
20,263,173,0.657795,692,17.3
20,262,166,0.633588,664,16.6
20,257,166,0.645914,664,16.6
21,250,141,0.564,592.2,14.1
21,249,138,0.554217,579.6,13.8
21,253,168,0.664032,705.6,16.8
21,245,143,0.583673,600.6,14.3
21,251,156,0.621514,655.2,15.6
22,240,144,0.6,633.6,14.4
22,246,142,0.577236,624.8,14.2
22,242,141,0.582645,620.4,14.1
22,242,151,0.623967,664.4,15.1
22,244,140,0.57377,616,14
23,236,138,0.584746,634.8,13.8
23,236,131,0.555085,602.6,13.1
23,234,127,0.542735,584.2,12.7
23,236,134,0.567797,616.4,13.4
23,240,140,0.583333,644,14
24,233,131,0.562232,628.8,13.1
24,231,137,0.593074,657.6,13.7
24,227,121,0.53304,580.8,12.1
24,227,117,0.515419,561.6,11.7
24,223,134,0.600897,643.2,13.4
25,226,106,0.469027,530,10.6
25,223,113,0.506726,565,11.3
25,224,117,0.522321,585,11.7
25,223,123,0.55157,615,12.3
25,226,128,0.566372,640,12.8
26,215,100,0.465116,520,10
26,223,106,0.475336,551.2,10.6
26,220,109,0.495455,566.8,10.9
26,215,95,0.44186,494,9.5
26,220,107,0.486364,556.4,10.7
27,209,106,0.507177,572.4,10.6
27,209,116,0.555024,626.4,11.6
27,215,102,0.474419,550.8,10.2
27,208,92,0.442308,496.8,9.2
27,210,102,0.485714,550.8,10.2
28,208,102,0.490385,571.2,10.2
28,207,98,0.47343,548.8,9.8
28,206,101,0.490291,565.6,10.1
28,208,90,0.432692,504,9
28,208,96,0.461538,537.6,9.6
29,200,104,0.52,603.2,10.4
29,205,92,0.44878,533.6,9.2
29,203,89,0.438424,516.2,8.9
29,205,95,0.463415,551,9.5
29,199,108,0.542714,626.4,10.8
30,189,103,0.544974,618,10.3
30,195,91,0.466667,546,9.1
30,199,94,0.472362,564,9.4
30,193,94,0.487047,564,9.4
30,201,86,0.427861,516,8.6
31,195,102,0.523077,632.4,10.2
31,199,79,0.396985,489.8,7.9
31,197,96,0.48731,595.2,9.6
31,192,90,0.46875,558,9
31,199,97,0.487437,601.4,9.7
32,198,71,0.358586,454.4,7.1
32,196,89,0.454082,569.6,8.9
32,191,89,0.465969,569.6,8.9
32,195,93,0.476923,595.2,9.3
32,191,90,0.471204,576,9
